Row Labels,Sum of Weekly_Sales,,Row Labels,Sum of Weekly_Sales,,Row Labels,Sum of Weekly_Sales
1,222402808.9,,0,6231919436,,1,293629302.3
2,275382441,,1,505299551.6,,2,606756048.6
3,57586735.07,,Grand Total,6737218987,,3,531951588.1
4,299543953.4,,,,,4,572651653.5
5,45475688.9,,,,,5,528393446.6
6,223756130.6,,,,,6,595077119.6
7,81598275.14,,,,,7,614910937.1
8,129951181.1,,,,,8,527145914.8
9,77789218.99,,,,,9,577930542.7
10,271617713.9,,,,,10,502594201.4
11,193962786.8,,,,,11,390401048.4
12,144287230.2,,,,,12,468605123
13,286517703.8,,,,,Grand Total,6210046926
14,288999911.3,,,,,,
15,89133683.92,,,,,,
16,74252425.4,,,,,,
17,127782138.8,,Total Revenue,6210046926,,,
18,155114734.2,,,,,,
19,206634862.1,,Average Weekly Sales,965042.2574,,,
20,301397792.5,,,,,,
21,108117878.9,,Max Sales,27520102.08,,,
22,147075648.6,,,,,,
23,198750617.9,,Min Sales,3343.2,,,
24,194016021.3,,,,,,
25,101061179.2,,,,,,
26,143416393.8,,,,,,
27,253855916.9,,,,,,
28,189263680.6,,,,,,
29,77141554.31,,,,,,
30,62716885.12,,,,,,
31,199613905.5,,,,,,
32,166819246.2,,,,,,
33,37160221.96,,,,,,
34,138249763,,,,,,
35,131520672.1,,,,,,
36,53412214.97,,,,,,
37,74202740.32,,,,,,
38,55159626.42,,,,,,
39,207445542.5,,,,,,
40,137870309.8,,,,,,
41,181341934.9,,,,,,
42,79565752.43,,,,,,
43,90565435.41,,,,,,
44,43293087.84,,,,,,
45,112395341.4,,,,,,
Grand Total,6737218987,,,,,,
